"CRN","ACCESS_CTRL","COUNTY","LANE_COUNT","OFFSET","RAMP","RDWY_ORIENT","RDWY_SEQ_NUM","ROAD_OWNER","ROUTE","SEGMENT","SPEED_LIMIT","STREET_NAME"
"2013066098","3.0","2","2","1960.0","0","S","3","2.0","3004","","30.0","MCMURRAY RD"
"2013057320","","2","02","","0","N","3","4.0","","","25.0","WILLETT RD"
"2013112303","1.0","2","1","409.0","1","N","3","2.0","8002","","25.0","RAMP K RD"
"2013106995","","2","01","","0","S","4","4.0","","","15.0","PUTNAM ST"
"2013106995","3.0","2","2","0.0","0","E","3","2.0","0400","","30.0","PENN AV"
"2013038356","","2","03","","0","N","4","4.0","","","25.0","S TWENTYFIRST ST"
"2013038356","3.0","2","2","469.0","0","B","3","2.0","0837","","25.0","EAST CARSON ST"
"2013085316","3.0","2","02","291.0","0","N","3","2.0","0051","","40.0","CLAIRTON BL"
"2013128920","1.0","2","2","943.0","0","E","3","1.0","0376","","55.0","PENN LINCOLN PY"
"2013126305","","2","02","","0","W","4","4.0","","","25.0","CENTRE AV"
"2013126305","","2","02","","0","S","3","4.0","","","25.0","WANDLESS ST"
"2013074099","","2","02","","0","S","3","4.0","","","25.0","N MONONGAHELA AV"
"2013005448","1.0","2","2","1324.0","0","S","3","2.0","0051","","40.0","CLAIRTON BL"
"2013034917","","2","03","","0","S","3","4.0","","","35.0","BECKS RUN RD"
"2013075790","","2","02","","0","U","4","4.0","","","25.0","GLASGOW RD"
"2013075790","3.0","2","2","3010.0","0","N","3","2.0","0008","","45.0","WILLIAM FLINN HW"
"2013013635","","2","02","","0","W","3","4.0","","","25.0","COLTART AV"
"2013013635","","2","02","","0","E","4","4.0","","","25.0","ZULEMA ST"
"2013077886","3.0","2","2","2877.0","0","W","3","2.0","1034","","40.0","BULL CREEK RD"
"2013059140","","2","02","","0","U","3","4.0","","","25.0","BAKER AV"
"2013035984","3.0","2","3","488.0","0","N","3","2.0","0885","","40.0","LEBANON RD"
"2013035984","","2","03","","0","S","4","4.0","","","40.0","TRUMBULL AND PJ DICK RD"
"2013035984","","2","03","","0","W","5","4.0","","","25.0","NOBLE DR"
"2013119244","","2","02","","0","W","4","4.0","","","25.0","W WOODFORD AV"
"2013119244","","2","02","","0","N","3","4.0","","","25.0","PLATEAU ST"
"2013010561","1.0","2","3","607.0","0","S","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2013018801","","2","02","","0","S","5","4.0","","","25.0","WALNUT ST"
"2013018801","3.0","2","2","1940.0","0","E","3","2.0","3048","","35.0","MANSFIELD BL"
"2013018801","3.0","2","2","1965.0","0","W","4","2.0","3048","","35.0","MANSFIELD BL"
"2013089959","3.0","2","2","646.0","0","W","3","2.0","0130","","45.0","ALLEGHENY RIVER BL"
"2013083339","","2","04","","0","W","3","4.0","","","25.0","MALL BL"
"2013128922","1.0","2","3","2230.0","0","N","3","1.0","0079","","55.0","RAYMOND P SHAFER HW"
"2013118245","3.0","2","2","2478.0","0","B","3","2.0","0837","","25.0","EAST CARSON ST"
"2013093827","","2","02","","0","N","5","4.0","","","25.0","MARYLAND AV"
"2013093827","3.0","2","02","1929.0","0","E","3","2.0","0030","","45.0","LINCOLN HW"
"2013093827","3.0","2","02","1725.0","0","W","4","2.0","0030","","40.0","LINCOLN HW"
"2013019554","1.0","2","2","236.0","0","W","3","2.0","0022","","55.0","NEW WM PENN HW"
"2013013789","","2","02","","0","S","4","4.0","","","25.0","SYCAMORE DR"
"2013013789","3.0","2","2","1125.0","0","W","3","2.0","2058","","35.0","SALTSBURG RD"
