"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2024097081","Y","Y","Y","Y","Y","Y","3","Y","Y","01500","N","","","","","","","","N","2"
"2025018088","N","N","U","Y","N","N","0","N","N","10900","N","","","","","","","","N","2"
"2024075889","Y","Y","N","Y","","","0","Y","N","01450","N","","","","","","","","N","1"
"2024054809","N","U","U","U","U","U","9","U","U","00599","N","","","","","","","","N","2"
"2024083618","Y","U","U","N","N","N","0","Y","N","00000","N","","","","","","","","N","1"
"2024069193","N","N","N","N","Y","Y","1","N","N","00600","N","","","","","","","","N","1"
"2024061124","N","N","Y","Y","U","Y","1","Y","N","01300","N","","","","","","","","N","1"
"2024043272","N","U","N","Y","U","Y","1","Y","Y","00599","N","","","","","","","","N","1"
"2024011212","N","U","U","U","U","N","0","Y","Y","01687","Y","Y","Y","Y","Y","1","Y","Y","N","2"
"2024077528","N","U","U","U","U","U","9","U","U","00300","N","","","","","","","","N","1"
"2024049324","Y","Y","U","N","Y","Y","3","Y","N","16870","N","","","","","","","","N","2"
"2024063121","Y","N","Y","Y","N","N","0","Y","Y","01450","N","","","","","","","","N","1"
"2025018531","N","N","N","U","U","Y","1","Y","N","60000","N","","","","","","","","N","1"
"2024053898","N","Y","Y","Y","Y","Y","1","Y","N","01890","N","","","","","","","","N","1"
"2024093712","Y","Y","U","Y","Y","Y","1","Y","Y","01450","N","","","","","","","","N","2"
"2024056430","N","U","U","U","U","U","9","U","U","00250","N","","","","","","","","N","1"
"2024093523","N","N","N","U","U","Y","1","Y","N","12345","N","","","","","","","","N","1"
"2024087433","Y","Y","Y","Y","Y","Y","2","Y","Y","01868","N","","","","","","","","N","1"
