"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2006042086","","04","N","3","1","","1","N","12","Y","","2001","","","","","","","","0","01","1G6KS54YX1U","1","","1","00","Y","E","999","0","","2","1","12","01","07","PA","1","1.0","P4D"
"2006033177","","04","N","3","1","","1","N","12","Y","FORD","2005","","","","","","","","0","01","1FAFP53255A","3","","1","00","Y","N","025","0","","1","1","07","01","00","PA","1","1.0","P4D"
"2006033177","","04","N","3","1","","1","N","06","Y","STRN","1992","","","","","","","","0","01","1G8ZK5479NZ","2","","1","00","Y","N","000","0","","2","1","02","03","00","PA","2","1.0","P4D"
"2006033177","","15","N","1","1","","1","N","06","Y","CHEV","2004","","","","","","","","0","01","1GNEK13VX4J","1","","1","00","N","N","000","0","","3","1","05","03","00","PA","2","6.0","PUT"
"2006039066","","59","N","3","1","","2","N","12","Y","CHEV","","","","","","","","","0","01","1GCEC19W2VE","1","","1","00","Y","S","050","0","","1","1","05","01","03","CA","1","4.0",""
"2006111914","","04","N","3","1","","1","N","12","Y","","1998","","","","","","","","0","01","1G6KD54Y8WU","1","","4","00","Y","W","999","0","","1","1","07","16","12","PA","1","1.0","P4D"
"2006075482","","04","N","1","1","","2","N","06","Y","CHEV","2002","","","","","","","","0","06","1G1JF524827","1","","1","08","Y","W","065","0","","1","1","09","01","03","PA","1","1.0","P4D"
"2006019023","","04","N","3","1","","1","N","12","Y","","","","","","","","","","0","02","1G6KY5497XU","1","","1","00","Y","W","025","0","","1","1","05","01","01","PA","1","1.0","P4D"
"2006019023","","50","N","1","1","","1","N","06","Y","FORD","","","","","","","","","0","01","1FTZR15V5XT","2","","1","00","N","W","999","0","","2","1","04","01","01","PA","2","4.0","TPK"
"2006083414","","","N","3","3","","3","N","09","U","FORD","1994","","","","","","","","0","01","1FMDU34X9RU","1","","2","00","Y","W","999","0","","1","1","04","98","07","PA","1","6.0","'"
"2006083414","","59","N","1","2","","1","N","12","U","FORD","1998","","","","","","","","1","","1FTZX18W8WN","0","","1","00","N","E","000","0","","2","2","09","06","01","PA","2","4.0","'"
"2006083414","","59","N","1","2","","1","N","08","U","CHEV","2000","","","","","","","","1","","2GCEK19T7Y1","0","","1","00","N","W","000","0","","3","2","01","06","01","PA","0","4.0","'"
"2006101069","","04","N","3","1","","1","N","02","Y","PONT","2000","","","","","","","","0","01","1G2NF52T2YM","1","","1","00","Y","S","040","0","","1","1","01","15","06","PA","1","1.0","P4D"
"2006101069","","50","N","1","1","","1","N","05","Y","CHEV","2006","","","","","","","","0","02","1GCEK19Z86Z","1","","1","00","N","S","040","0","","2","1","07","01","01","PA","2","4.0","T4C"
