"CRN","AVOID_MAN_CD","BODY_TYPE","COMM_VEH_IND","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","HAZMAT_IND","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","NM_AT_INTERSECTION","NM_CROSSING_TCD","NM_DISTRACTION","NM_IN_CROSSWALK","NM_LIGHTING","NM_POWERED","NM_REFLECT","NON_MOTORIST","OWNER_DRIVER","PARTIAL_VIN","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TOW_IND","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE_CD","VEH_TYPE","VINA_BODY_TYPE_CD"
"2019082532","","15","N","3","1","","1","N","12","Y","NISS","2011","","","","","","","","0","01","JN8AF5MVXBT","2","","1","00","Y","E","999","0","","2","1","02","01","01","PA","1","1.0","T4W"
"2019008164","","41","N","3","1","","2","N","12","Y","FORD","2006","","","","","","","","0","02","1FTNS24L96H","1","","3","00","Y","S","999","0","","1","1","03","17","01","PA","1","7.0","TEC"
"2019118152","","04","N","3","1","","1","N","12","Y","MAZD","2016","","","","","","","","0","01","3MZBM1V79GM","1","","1","00","Y","W","025","","","1","1","02","01","03","PA","1","1.0","P4D"
"2019118152","","15","N","3","1","","1","N","06","Y","HOND","2012","","","","","","","","0","01","5J6RM4H7XCL","1","","1","00","Y","W","025","","","2","1","03","01","03","PA","2","6.0","T4W"
"2019072961","","69","N","3","1","","3","N","09","Y","FORD","2018","","","","","","","","0","01","1FTEW1E50JF","1","","1","00","Y","N","065","0","","1","1","05","01","03","PA","1","4.0","T"
"2019127570","","15","N","3","1","","3","N","12","Y","CADI","2015","","","","","","","","0","01","3GYFNEE39FS","1","","4","00","Y","N","035","","","1","1","07","15","01","PA","1","6.0","T4W"
"2019127570","","15","N","3","1","","3","N","06","Y","JEEP","2017","","","","","","","","0","01","1C4RJFBG1HC","1","","4","00","Y","N","005","","","2","1","03","15","01","PA","2","6.0","T4W"
"2019104621","","05","N","2","1","","1","N","12","Y","DODG","2007","","","","","","","","0","01","1B3HB48B37D","1","","1","00","Y","W","999","0","","1","1","12","01","03","PA","1","1.0","P4H"
"2019104621","","51","N","1","1","","1","N","06","Y","FORD","1985","","","","","","","","0","01","2FTEF26Y7FC","1","","1","00","N","W","000","0","","2","1","12","03","03","PA","2","1.0","TPK"
"2019131902","","69","N","1","1","","1","N","06","Y","FORD","2019","","","","","","","","0","01","1FMCU0F7XKU","2","","1","00","N","N","000","0","","1","1","01","03","01","PA","2","6.0","T"
"2019131902","","09","N","3","1","","1","N","12","Y","NISS","2019","","","","","","","","0","01","3N1AB7AP5KY","1","","1","00","Y","N","999","0","","2","1","05","01","01","PA","1","1.0","P"
"2019016831","","15","N","2","1","","3","N","11","Y","TOYT","2009","","","","","","","","0","01","JTMBF33V89D","1","","3","00","Y","E","999","0","","1","1","01","17","01","PA","1","6.0","T4W"
"2019083842","","05","N","3","1","","1","N","12","Y","FORD","2014","","","","","","","","0","01","1FADP3K24EL","1","","1","00","Y","E","015","0","","1","1","05","01","01","PA","1","1.0","P4H"
"2019083842","","15","N","2","1","","2","N","03","Y","HYUN","2008","","","","","","","","0","01","5NMSH73E38H","1","","1","00","Y","N","040","0","","2","1","03","01","01","PA","2","6.0","T4W"
"2019120132","","04","N","3","1","","2","N","09","Y","NISS","2006","","","","","","","","0","01","1N4AL11D96N","1","","1","00","Y","E","999","0","","1","1","07","15","06","PA","1","1.0","P4D"
"2019120132","","15","N","3","1","","2","N","03","U","NISS","2011","","","","","","","","0","02","JN8AS5MV0BW","1","","1","00","Y","E","999","0","","2","1","05","01","06","PA","2","1.0","T4W"
"2019091591","","09","N","3","1","","1","N","00","Y","BMW","2015","","","","","","","","0","01","WBAYF8C54FD","1","","1","00","Y","N","999","0","","1","1","05","01","01","PA","0","1.0","P"
"2019058640","","28","N","3","1","","1","N","00","U","HOND","2005","","","","","","","","0","01","JH2PC37065M","1","","1","41","Y","N","999","0","","1","1","05","01","01","WA","0","2.0","MRC"
