"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2019045901","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019097598","N","Y","Y","Y","N","N","0","Y","N","01450","N","","","","","","","","N","1"
"2019045919","Y","U","U","U","","","0","Y","Y","01340","N","","","","","","","","N","2"
"2019114479","U","U","U","Y","U","U","9","Y","Y","00000","N","","","","","","","","N","1"
"2019055070","N","N","U","U","N","N","0","Y","U","00636","N","","","","","","","","N","1"
"2019039192","Y","U","Y","Y","N","U","0","Y","Y","99999","Y","U","Y","U","Y","1","Y","Y","N","1"
"2019074681","","","","","","","","","","","","","","","","","","","","2"
"2019057654","N","N","Y","Y","N","N","0","Y","Y","00150","N","","","","","","","","N","2"
"2019069542","N","U","N","U","U","U","9","U","N","01300","N","","","","","","","","N","1"
"2019069487","N","Y","U","U","N","N","0","U","N","01690","N","","","","","","","","N","1"
"2019107780","N","U","U","Y","U","Y","1","Y","Y","01450","N","","","","","","","","N","2"
"2019100890","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","U","1"
"2019060990","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019023105","","","","","","","","","","","","","","","","","","","","1"
"2019069522","Y","U","U","Y","U","Y","3","Y","N","10000","N","","","","","","","","N","1"
"2019047765","N","Y","N","Y","N","N","0","Y","N","01200","Y","Y","Y","U","Y","2","Y","N","N","2"
"2019089886","N","N","N","Y","Y","N","1","Y","Y","00650","N","","","","","","","","N","1"
"2019086838","","","","","","","","","","","","","","","","","","","","2"
"2019040509","N","Y","Y","Y","U","Y","1","Y","Y","00398","N","","","","","","","","N","1"
"2019072752","N","N","U","Y","Y","Y","1","N","N","01000","N","","","","","","","","N","1"
"2019083505","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","3"
"2019126694","N","U","N","U","N","N","0","Y","Y","99999","N","","","","","","","","N","2"
"2019034877","Y","Y","U","Y","Y","Y","2","Y","Y","01584","N","","","","","","","","N","1"
"2019097622","U","Y","U","U","N","N","0","Y","N","01450","N","","","","","","","","N","1"
"2019095589","Y","Y","U","Y","","","0","Y","N","01750","Y","Y","Y","Y","Y","3","Y","Y","N","2"
"2019050347","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019083698","N","N","N","Y","N","N","0","N","N","00883","N","","","","","","","","N","2"
"2019098756","Y","U","U","U","U","Y","2","Y","Y","01450","N","","","","","","","","N","1"
"2019051031","","","","","","","","","","","","","","","","","","","","1"
"2019095995","N","U","U","U","U","U","9","U","U","01700","N","","","","","","","","N","1"
"2019076448","N","N","N","N","N","N","0","Y","N","01200","N","","","","","","","","N","1"
"2019081828","N","N","U","Y","Y","Y","1","Y","N","00675","N","","","","","","","","N","2"
"2019037430","N","U","U","N","Y","U","1","Y","Y","00600","N","","","","","","","","N","1"
"2019078332","Y","Y","U","Y","Y","Y","2","Y","N","15000","N","","","","","","","","N","1"
"2019121733","Y","U","U","N","N","N","0","Y","Y","00850","N","","","","","","","","N","2"
"2019058854","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019060637","","","","","","","","","","","","","","","","","","","","1"
"2019090239","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019070920","Y","Y","Y","Y","N","N","0","Y","Y","00650","N","","","","","","","","N","1"
"2019047792","Y","Y","U","Y","N","N","0","Y","Y","01900","N","","","","","","","","N","2"
"2019055949","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2019102285","Y","U","Y","Y","U","Y","1","Y","Y","99999","N","","","","","","","","N","1"
"2019094084","N","Y","U","Y","U","Y","1","Y","U","01400","N","","","","","","","","N","1"
"2019031475","N","Y","N","Y","Y","Y","1","Y","Y","00823","N","","","","","","","","N","1"
"2019066533","N","N","N","Y","U","U","1","Y","N","00600","N","","","","","","","","N","1"
"2019088144","N","Y","N","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","Y","1"
"2019066769","N","Y","U","Y","Y","Y","1","Y","Y","00750","N","","","","","","","","N","1"
"2019079790","Y","Y","Y","Y","N","N","0","Y","N","01340","N","","","","","","","","N","2"
"2019094082","N","Y","Y","Y","N","N","0","Y","Y","00200","N","","","","","","","","N","1"
"2019090439","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","1"
"2019075704","Y","N","Y","Y","N","Y","1","N","Y","00120","N","","","","","","","","N","1"
