"CRN","ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","DAY_OF_WEEK","DEC_LATITUDE","DEC_LONGITUDE","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECTION_RELATED","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROADWAY_CLEARED","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SECONDARY_CRASH","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOTAL_UNITS","TOT_INJ_COUNT","UNBELTED_OCC_COUNT","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WEATHER1","WEATHER2","WORKERS_PRES","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","WZ_WORKERS_INJ_KILLED"
"2017041576","","1","0","0","0","0","0","0","0","0","5","0","99","02","4","2017","6","40.438373","-79.981368","","11","0","0","0","1","0","0","0","0","","0","0","0","","","1","","2","","40 26:18.143","","0","79 58:52.924","8","0","0","1","2301","0","0","0","N","0","0","0","5","02301","0","","1.0","","1","N","N","","0","","0","0","0","","0","","","2","1","0","0","0","1","0","2","0","2","","","Y","Y","5","1","","Y","Y","Y","","","",""
"2017039512","","0","0","0","0","0","0","0","0","0","1","0","","02","4","2017","1","40.426209","-79.968874","","11","0","0","0","0","0","0","0","0","","0","0","0","","","0","","0","","40 25:34.352","","0","79 58:07.946","0","0","0","0","2301","0","0","0","N","0","0","0","1","02301","0","","6.0","","1","N","N","","0","","0","0","2","","0","","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017021966","","1","0","0","0","0","0","0","0","0","7","0","","02","2","2017","6","40.616732","-79.957508","","11","0","0","0","0","0","0","0","0","1","0","0","0","","","0","","0","","40 37:00.235","5","0","79 57:27.028","0","0","0","0","2217","0","0","0","N","0","0","0","1","02505","0","","4.0","","1","N","N","","0","","0","0","0","","0","Y","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
"2017040779","","1","0","0","0","0","0","0","0","0","2","0","","02","4","2017","4","40.578841","-80.088641","","11","0","1","0","0","0","0","0","1","1","0","0","0","","","0","","2","","40 34:43.826","2","0","80 05:19.108","0","0","0","0","2481","0","0","0","N","0","0","0","4","02481","0","","1.0","","1","N","N","","1","","0","0","0","","0","N","","2","0","1","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017040769","","1","0","0","0","0","0","0","0","0","4","0","","02","4","2017","4","40.352163","-79.85701","","11","0","0","0","0","0","0","0","0","2","0","0","0","","","2","","0","","40 21:07.786","2","0","79 51:25.236","3","0","0","0","2424","0","0","0","N","0","0","0","2","02424","0","","1.0","","1","N","N","","0","","2","0","1","","0","Y","","2","2","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017040960","","1","0","0","0","0","0","0","0","0","1","0","","02","4","2017","5","40.428323","-79.973019","","11","0","0","0","0","0","1","0","0","1","0","0","0","","","1","","1","","40 25:41.961","4","0","79 58:22.869","4","0","0","0","2301","0","0","0","N","0","0","0","2","02301","1","","1.0","","1","N","N","","1","","0","0","0","","0","N","","2","1","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017052857","","1","0","0","0","0","0","0","0","0","4","0","","02","5","2017","2","40.551055","-80.024459","","11","0","0","0","0","0","0","1","0","2","0","0","0","","","2","","2","","40 33:03.797","7","0","80 01:28.052","3","0","0","0","2116","0","0","0","N","0","0","0","2","02116","1","","1.0","","1","N","N","","0","","1","0","1","","2","Y","","2","2","1","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017041113","","3","0","0","0","0","0","0","0","0","1","0","","02","4","2017","6","40.450936","-80.027845","","11","0","0","0","0","0","1","0","0","1","0","0","0","","","0","","7","","40 27:03.371","2","0","80 01:40.243","0","0","0","0","2301","0","0","0","N","0","0","0","3","02301","0","","1.0","","1","N","N","","0","","0","0","0","","0","N","","3","0","0","0","0","0","0","2","0","3","","","","N","","","","","","","","","",""
"2017041814","","1","0","0","0","0","0","0","0","0","4","0","","02","4","2017","7","40.370375","-79.786261","","11","0","0","0","0","0","0","0","0","2","0","0","0","","","0","","1","","40 22:13.350","3","0","79 47:10.538","0","0","0","0","2111","0","0","0","N","0","0","0","4","02111","0","","1.0","","1","N","N","","0","","0","0","1","","2","Y","","2","0","0","0","0","0","0","2","0","2","","","","N","","","","","","","","","",""
"2017025549","","1","0","0","0","0","0","0","0","0","7","0","","02","3","2017","2","40.528669","-80.085386","","11","0","1","0","0","0","0","0","0","","0","0","0","","","0","","2","","40 31:43.208","","0","80 05:07.389","0","0","0","0","2215","0","0","0","N","0","0","0","1","02215","0","","2.0","","9","N","N","","0","","0","0","0","","0","","","1","0","0","0","0","0","0","2","0","1","","","","N","","","","","","","","","",""
